Tested device: RUTX11
Register address,Representation,Expected value,Decoded value,Passed the test
0,uint32,2207,2208,False
2,int32,-72,-72,True
4,int32,340,340,True
6,text,RUTX11,RUTX11,True
22,text,TAVO BITE BITE,TAVO BITE BITE,True
38,text,,1114919838,False
54,text,001E423C0F3E,001E423C0F3E,True
70,text,RUTX11,RUTX11,True
86,text,,sim1,False
102,text,"Registered, home","Registered, home",True
118,text,LTE,LTE,True
134,int32,,,False
136,int32,,,False
138,uint32,,10.24.135.149,False
140,int32,,,False
142,float32,,,False
144,float32,,,False
146,text,,,False
178,int32,,,False
180,int32,,,False
182,float32,,,False
184,uint32,333859,333595,False
186,uint32,241823,241519,False
188,uint32,,333595,False
190,uint32,,241519,False
192,uint32,,1265883,False
194,uint32,,1119964,False
196,uint32,,333595,False
198,uint32,,241519,False
200,uint16,,,False
201,uint16,,,False
204,uint16,1,1,True
291,uint32,4336763,4336499,False
293,uint32,3665889,3665585,False
295,uint32,22735436,22735172,False
297,uint32,18647358,18647054,False
299,uint32,0,0,True
301,uint32,0,0,True
303,uint32,,0,False
305,uint32,,0,False
307,uint32,,0,False
309,uint32,,0,False
311,uint32,,0,False
313,uint32,,0,False
315,uint32,0,0,True
317,uint32,0,0,True
319,uint32,24648,24648,True
321,uint32,26403,26403,True
323,uint16,0,0,True
324,uint16,0,0,True
347,text,246020102487106,246020102487106,True
